name,episodes,av_rating,members,rating,user_id
Rozen Maiden: Tr?umend,12,7.78,72645,9,65
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,30
Cowboy Bebop,26,8.82,486824,-1,85
D.N.Angel,26,7.35,126914,8,35
Rozen Maiden: Tr?umend,12,7.78,72645,8,11
DearS,12,6.8,91037,8,38
Prince of Tennis,178,8.04,87643,4,82
Full Metal Panic!,24,7.81,256325,10,81
Rozen Maiden,12,7.57,128688,7,76
Kidou Tenshi Angelic Layer,26,7.32,39758,8,41
Chobits,26,7.57,266846,8,69
Prince of Tennis,178,8.04,87643,10,45
Ai Yori Aoshi,24,7.24,66597,8,55
Monster,74,8.72,247562,9,86
Cowboy Bebop,26,8.82,486824,9,1
School Rumble,26,8.06,178553,10,12
Chobits,26,7.57,266846,8,43
Sunabouzu,24,7.55,65516,6,33
Chobits,26,7.57,266846,7,15
Beck,26,8.4,148328,9,86
Full Metal Panic!,24,7.81,256325,-1,44
Beck,26,8.4,148328,10,19
Mobile Suit Gundam,43,7.89,51566,-1,14
Rozen Maiden,12,7.57,128688,8,37
Chobits,26,7.57,266846,8,6
Chrno Crusade,24,7.8,140865,8,13
Naruto,220,7.81,683297,4,44
Full Metal Panic! The Second Raid,13,8.06,155340,6,99
Azumanga Daioh,26,8.06,170901,-1,46
Neon Genesis Evangelion,26,8.32,461946,8,53
D.C.: Da Capo,26,6.93,49909,8,89
Chrno Crusade,24,7.8,140865,-1,69
Neon Genesis Evangelion,26,8.32,461946,10,22
Naruto,220,7.81,683297,6,25
Texhnolyze,22,7.78,95859,8,61
School Rumble,26,8.06,178553,9,19
Basilisk: Kouga Ninpou Chou,24,7.68,98144,8,63
Black Cat,23,7.52,150512,8,44
Neon Genesis Evangelion,26,8.32,461946,10,61
Last Exile,26,7.94,104193,-1,72
Naruto,220,7.81,683297,8,10
Mobile Suit Gundam Seed Destiny,50,7.36,65896,5,6
Hachimitsu to Clover,24,8.18,130646,9,12
Cowboy Bebop,26,8.82,486824,10,5
Naruto,220,7.81,683297,8,67
Rozen Maiden,12,7.57,128688,8,26
Full Metal Panic! The Second Raid,13,8.06,155340,8,51
Neon Genesis Evangelion,26,8.32,461946,10,31
Naruto,220,7.81,683297,-1,66
Cowboy Bebop,26,8.82,486824,-1,51
Full Metal Panic!,24,7.81,256325,9,43
Mobile Suit Gundam Seed Destiny,50,7.36,65896,6,57
Mobile Suit Gundam Seed,50,7.93,96973,7,10
Naruto,220,7.81,683297,10,46
DearS,12,6.8,91037,5,71
Berserk,25,8.4,226430,7,8
Naruto,220,7.81,683297,5,2
Chobits,26,7.57,266846,9,97
Naruto,220,7.81,683297,9,41
Rozen Maiden,12,7.57,128688,7,70
Azumanga Daioh,26,8.06,170901,10,66
Last Exile,26,7.94,104193,6,17
Mobile Suit Gundam Wing,49,7.87,86001,8,42
Mai-HiME,26,7.59,76492,8,16
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,83
Chobits,26,7.57,266846,-1,99
Mobile Suit Gundam ZZ,47,6.81,17517,7,21
Cowboy Bebop,26,8.82,486824,5,50
Naruto,220,7.81,683297,7,96
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,90
Full Metal Panic! The Second Raid,13,8.06,155340,9,62
Mai-Otome,26,7.4,36924,10,63
Mobile Suit Gundam Wing,49,7.87,86001,8,77
Beet the Vandel Buster,52,7.06,9848,7,26
Azumanga Daioh,26,8.06,170901,7,36
Black Cat,23,7.52,150512,-1,24
Full Metal Panic? Fumoffu,12,8.21,171086,8,65
Rozen Maiden: Tr?umend,12,7.78,72645,9,59
School Rumble,26,8.06,178553,9,20
Rozen Maiden,12,7.57,128688,7,82
Neon Genesis Evangelion,26,8.32,461946,8,57
Berserk,25,8.4,226430,5,51
Black Cat,23,7.52,150512,9,75
Cowboy Bebop,26,8.82,486824,10,54
Cowboy Bebop,26,8.82,486824,8,22
Mobile Suit Gundam Wing,49,7.87,86001,7,28
Mobile Fighter G Gundam,49,7.62,36338,7,62
D.N.Angel,26,7.35,126914,9,46
Aa! Megami-sama! (TV),24,7.45,96694,9,88
Azumanga Daioh,26,8.06,170901,8,67
Full Metal Panic!,24,7.81,256325,-1,95
DearS,12,6.8,91037,7,63
Rozen Maiden: Tr?umend,12,7.78,72645,6,45
School Rumble,26,8.06,178553,6,85
Full Metal Panic! The Second Raid,13,8.06,155340,-1,42
Naruto,220,7.81,683297,10,87
Blue Gender,26,7.13,40581,7,50
Aa! Megami-sama! (TV),24,7.45,96694,7,57
DearS,12,6.8,91037,5,80
Black Cat,23,7.52,150512,10,99
Full Metal Panic? Fumoffu,12,8.21,171086,9,16
Trinity Blood,24,7.44,113791,7,10
Full Metal Panic!,24,7.81,256325,10,14
Aa! Megami-sama! (TV),24,7.45,96694,7,21
Trigun,26,8.32,283069,9,21
Naruto,220,7.81,683297,8,15
Rozen Maiden: Tr?umend,12,7.78,72645,8,47
School Rumble,26,8.06,178553,7,91
Monster,74,8.72,247562,-1,85
Trigun,26,8.32,283069,-1,59
Eyeshield 21,145,8.08,83648,10,19
Aa! Megami-sama! (TV),24,7.45,96694,7,34
Neon Genesis Evangelion,26,8.32,461946,8,65
Full Metal Panic!,24,7.81,256325,7,77
Blue Gender,26,7.13,40581,9,72
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,6,24
Prince of Tennis,178,8.04,87643,10,44
Shuffle!,24,7.31,158772,10,16
Berserk,25,8.4,226430,4,64
Cowboy Bebop,26,8.82,486824,7,94
Full Metal Panic!,24,7.81,256325,9,61
Chrno Crusade,24,7.8,140865,-1,62
Berserk,25,8.4,226430,10,59
Trinity Blood,24,7.44,113791,7,71
Chobits,26,7.57,266846,6,58
DearS,12,6.8,91037,8,27
Trinity Blood,24,7.44,113791,6,95
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,78
Beck,26,8.4,148328,8,62
Zipang,26,7.56,8630,7,73
Rozen Maiden,12,7.57,128688,7,31
Eyeshield 21,145,8.08,83648,-1,30
Full Metal Panic! The Second Raid,13,8.06,155340,8,74
Full Metal Panic? Fumoffu,12,8.21,171086,10,63
Neon Genesis Evangelion,26,8.32,461946,10,30
Cowboy Bebop,26,8.82,486824,10,79
Ai Yori Aoshi,24,7.24,66597,7,92
Black Cat,23,7.52,150512,7,24
D.N.Angel,26,7.35,126914,3,3
Monster,74,8.72,247562,-1,63
Chobits,26,7.57,266846,9,67
Ai Yori Aoshi,24,7.24,66597,-1,63
DearS,12,6.8,91037,6,3
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,68
Beet the Vandel Buster,52,7.06,9848,-1,74
D.N.Angel,26,7.35,126914,-1,5
Mobile Suit Zeta Gundam,50,8.03,28959,3,67
DearS,12,6.8,91037,5,81
Azumanga Daioh,26,8.06,170901,7,46
Shuffle!,24,7.31,158772,7,41
Trigun,26,8.32,283069,9,25
Mobile Suit Gundam Seed,50,7.93,96973,8,1
Hachimitsu to Clover,24,8.18,130646,7,59
Chrno Crusade,24,7.8,140865,9,58
Black Cat,23,7.52,150512,7,51
Rozen Maiden: Tr?umend,12,7.78,72645,9,4
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,32
Last Exile,26,7.94,104193,10,14
Beck,26,8.4,148328,7,29
School Rumble,26,8.06,178553,8,7
Cowboy Bebop,26,8.82,486824,8,5
Trigun,26,8.32,283069,8,20
Full Metal Panic? Fumoffu,12,8.21,171086,-1,68
Full Metal Panic! The Second Raid,13,8.06,155340,6,65
Full Metal Panic! The Second Raid,13,8.06,155340,9,79
Cowboy Bebop,26,8.82,486824,7,6
Hachimitsu to Clover,24,8.18,130646,8,91
Mobile Suit Gundam Seed,50,7.93,96973,8,67
Cowboy Bebop,26,8.82,486824,8,82
Cowboy Bebop,26,8.82,486824,-1,71
Basilisk: Kouga Ninpou Chou,24,7.68,98144,9,41
Rozen Maiden,12,7.57,128688,4,64
Black Cat,23,7.52,150512,9,72
Rozen Maiden,12,7.57,128688,10,44
Chobits,26,7.57,266846,7,90
School Rumble,26,8.06,178553,-1,68
Neon Genesis Evangelion,26,8.32,461946,8,33
Rozen Maiden,12,7.57,128688,8,85
Black Cat,23,7.52,150512,7,82
Witch Hunter Robin,26,7.36,64905,8,76
Full Metal Panic? Fumoffu,12,8.21,171086,9,62
Chobits,26,7.57,266846,8,98
Chobits,26,7.57,266846,-1,87
Beck,26,8.4,148328,10,46
Cowboy Bebop,26,8.82,486824,-1,85
Full Metal Panic! The Second Raid,13,8.06,155340,8,59
Naruto,220,7.81,683297,5,68
Last Exile,26,7.94,104193,8,41
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,34
Full Metal Panic? Fumoffu,12,8.21,171086,8,91
Beck,26,8.4,148328,9,97
Aa! Megami-sama! (TV),24,7.45,96694,7,33
Naruto,220,7.81,683297,8,29
Black Cat,23,7.52,150512,-1,82
Soukyuu no Fafner: Dead Aggressor,25,7.38,27516,-1,13
Mai-HiME,26,7.59,76492,7,31
Naruto,220,7.81,683297,8,96
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,61
Chobits,26,7.57,266846,10,95
Rozen Maiden: Tr?umend,12,7.78,72645,8,83
Cowboy Bebop,26,8.82,486824,9,46
Shuffle!,24,7.31,158772,7,14
Black Cat,23,7.52,150512,-1,33
Full Metal Panic? Fumoffu,12,8.21,171086,9,39
Mobile Suit Gundam Seed,50,7.93,96973,9,56
Trinity Blood,24,7.44,113791,10,78
Initial D Fourth Stage,24,8.24,41584,9,27
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,39
Azumanga Daioh,26,8.06,170901,9,20
Trinity Blood,24,7.44,113791,9,8
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,41
Cowboy Bebop,26,8.82,486824,9,4
Neon Genesis Evangelion,26,8.32,461946,-1,78
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,29
Monster,74,8.72,247562,9,60
Chrno Crusade,24,7.8,140865,9,19
Soukyuu no Fafner: Dead Aggressor,25,7.38,27516,-1,69
Texhnolyze,22,7.78,95859,7,96
Mai-HiME,26,7.59,76492,9,44
Neon Genesis Evangelion,26,8.32,461946,-1,53
Chobits,26,7.57,266846,-1,81
Basilisk: Kouga Ninpou Chou,24,7.68,98144,-1,94
Neon Genesis Evangelion,26,8.32,461946,9,21
Aa! Megami-sama! (TV),24,7.45,96694,10,49
Initial D Fourth Stage,24,8.24,41584,10,89
D.C.: Da Capo,26,6.93,49909,5,56
Beck,26,8.4,148328,9,42
Rozen Maiden: Tr?umend,12,7.78,72645,-1,37
Neon Genesis Evangelion,26,8.32,461946,9,10
Neon Genesis Evangelion,26,8.32,461946,8,52
Neon Genesis Evangelion,26,8.32,461946,6,30
Cowboy Bebop,26,8.82,486824,-1,97
Blue Gender,26,7.13,40581,4,61
Chobits,26,7.57,266846,-1,68
Beck,26,8.4,148328,9,64
Naruto,220,7.81,683297,7,26
Mobile Suit Gundam Wing,49,7.87,86001,8,80
Trigun,26,8.32,283069,8,66
Texhnolyze,22,7.78,95859,7,89
Mai-Otome,26,7.4,36924,-1,6
Naruto,220,7.81,683297,8,27
Sunabouzu,24,7.55,65516,7,62
Rozen Maiden: Tr?umend,12,7.78,72645,7,58
Prince of Tennis,178,8.04,87643,6,51
School Rumble,26,8.06,178553,10,47
Eyeshield 21,145,8.08,83648,8,47
Chobits,26,7.57,266846,10,81
Berserk,25,8.4,226430,10,62
Soukyuu no Fafner: Dead Aggressor,25,7.38,27516,8,83
Cowboy Bebop,26,8.82,486824,10,25
Mai-Otome,26,7.4,36924,10,3
Rozen Maiden,12,7.57,128688,7,55
Trigun,26,8.32,283069,-1,67
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,62
Berserk,25,8.4,226430,-1,65
Aa! Megami-sama! (TV),24,7.45,96694,9,55
Sunabouzu,24,7.55,65516,7,67
Chobits,26,7.57,266846,10,4
Mai-Otome,26,7.4,36924,7,76
Berserk,25,8.4,226430,9,83
Mobile Suit Gundam ZZ,47,6.81,17517,7,19
Naruto,220,7.81,683297,10,42
Neon Genesis Evangelion,26,8.32,461946,9,88
Cowboy Bebop,26,8.82,486824,9,67
Naruto,220,7.81,683297,8,65
Naruto,220,7.81,683297,9,83
Prince of Tennis,178,8.04,87643,-1,54
Trigun,26,8.32,283069,8,56
Trigun,26,8.32,283069,10,11
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,60
Full Metal Panic!,24,7.81,256325,10,59
Naruto,220,7.81,683297,8,32
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,45
Chrno Crusade,24,7.8,140865,7,57
Rozen Maiden,12,7.57,128688,8,34
Yakitate!! Japan,69,8.05,50876,10,52
Prince of Tennis,178,8.04,87643,9,59
D.N.Angel,26,7.35,126914,8,87
Aa! Megami-sama! (TV),24,7.45,96694,8,75
D.N.Angel,26,7.35,126914,-1,75
Gakuen Alice,26,7.8,52995,7,11
Eyeshield 21,145,8.08,83648,10,75
DearS,12,6.8,91037,7,88
Rozen Maiden: Tr?umend,12,7.78,72645,9,40
Gakuen Alice,26,7.8,52995,6,82
Full Metal Panic!,24,7.81,256325,8,89
Rozen Maiden: Tr?umend,12,7.78,72645,9,14
Cowboy Bebop,26,8.82,486824,9,96
Shuffle!,24,7.31,158772,7,78
Black Cat,23,7.52,150512,7,73
Chobits,26,7.57,266846,10,17
Full Metal Panic! The Second Raid,13,8.06,155340,-1,87
Trigun,26,8.32,283069,-1,13
Neon Genesis Evangelion,26,8.32,461946,9,78
Neon Genesis Evangelion,26,8.32,461946,-1,52
Witch Hunter Robin,26,7.36,64905,7,80
Blue Gender,26,7.13,40581,7,25
Berserk,25,8.4,226430,9,3
Hachimitsu to Clover,24,8.18,130646,9,52
Prince of Tennis,178,8.04,87643,9,90
Witch Hunter Robin,26,7.36,64905,7,50
Aa! Megami-sama! (TV),24,7.45,96694,8,100
Chobits,26,7.57,266846,-1,88
Cowboy Bebop,26,8.82,486824,9,41
Neon Genesis Evangelion,26,8.32,461946,-1,69
Naruto,220,7.81,683297,-1,68
Neon Genesis Evangelion,26,8.32,461946,8,66
Full Metal Panic!,24,7.81,256325,-1,4
Full Metal Panic? Fumoffu,12,8.21,171086,8,73
Neon Genesis Evangelion,26,8.32,461946,7,86
Naruto,220,7.81,683297,10,31
Full Metal Panic!,24,7.81,256325,-1,75
Full Metal Panic! The Second Raid,13,8.06,155340,-1,3
Rozen Maiden,12,7.57,128688,-1,96
Texhnolyze,22,7.78,95859,8,76
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,13
Rozen Maiden,12,7.57,128688,7,82
Rozen Maiden,12,7.57,128688,6,87
Shuffle!,24,7.31,158772,4,80
Naruto,220,7.81,683297,8,14
Full Metal Panic? Fumoffu,12,8.21,171086,10,64
Full Metal Panic!,24,7.81,256325,8,68
Rozen Maiden,12,7.57,128688,-1,64
Neon Genesis Evangelion,26,8.32,461946,7,56
Eyeshield 21,145,8.08,83648,9,67
DearS,12,6.8,91037,10,55
Naruto,220,7.81,683297,7,9
Mobile Suit Gundam Seed,50,7.93,96973,7,6
Gakuen Alice,26,7.8,52995,7,90
DearS,12,6.8,91037,6,71
D.N.Angel,26,7.35,126914,6,46
Kidou Tenshi Angelic Layer,26,7.32,39758,7,63
Black Cat,23,7.52,150512,-1,2
Hachimitsu to Clover,24,8.18,130646,-1,81
Witch Hunter Robin,26,7.36,64905,7,48
Chobits,26,7.57,266846,7,70
Mobile Suit Zeta Gundam,50,8.03,28959,8,85
Beck,26,8.4,148328,-1,96
DearS,12,6.8,91037,5,77
DearS,12,6.8,91037,8,4
Witch Hunter Robin,26,7.36,64905,7,80
Neon Genesis Evangelion,26,8.32,461946,8,26
Ai Yori Aoshi,24,7.24,66597,-1,71
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,17
Neon Genesis Evangelion,26,8.32,461946,8,21
Full Metal Panic!,24,7.81,256325,-1,56
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,-1,70
Mobile Fighter G Gundam,49,7.62,36338,10,40
Chobits,26,7.57,266846,7,51
Mobile Suit Gundam Seed,50,7.93,96973,-1,65
School Rumble,26,8.06,178553,7,78
Neon Genesis Evangelion,26,8.32,461946,7,59
Cowboy Bebop,26,8.82,486824,9,58
Mobile Suit Gundam Wing,49,7.87,86001,7,26
Aa! Megami-sama! (TV),24,7.45,96694,7,79
Naruto,220,7.81,683297,9,97
Trinity Blood,24,7.44,113791,6,67
Last Exile,26,7.94,104193,-1,4
Aa! Megami-sama! (TV),24,7.45,96694,8,42
Chrno Crusade,24,7.8,140865,10,87
Monster,74,8.72,247562,7,37
Neon Genesis Evangelion,26,8.32,461946,10,60
Basilisk: Kouga Ninpou Chou,24,7.68,98144,7,46
Neon Genesis Evangelion,26,8.32,461946,10,10
Monster,74,8.72,247562,8,84
Cowboy Bebop,26,8.82,486824,9,32
Full Metal Panic!,24,7.81,256325,10,9
Cowboy Bebop,26,8.82,486824,10,97
Mobile Suit Gundam Wing,49,7.87,86001,7,11
Rozen Maiden: Tr?umend,12,7.78,72645,8,8
School Rumble,26,8.06,178553,-1,20
Monster,74,8.72,247562,10,88
Full Metal Panic!,24,7.81,256325,8,55
Mobile Suit Gundam Seed Destiny,50,7.36,65896,-1,30
Mobile Suit Gundam Seed,50,7.93,96973,8,57
Witch Hunter Robin,26,7.36,64905,8,44
Trinity Blood,24,7.44,113791,7,72
DearS,12,6.8,91037,-1,80
Mobile Suit Gundam Wing,49,7.87,86001,9,62
Full Metal Panic!,24,7.81,256325,9,96
Gakuen Alice,26,7.8,52995,6,31
Trigun,26,8.32,283069,10,55
Mai-Otome,26,7.4,36924,6,51
School Rumble,26,8.06,178553,8,17
Full Metal Panic!,24,7.81,256325,7,31
Monster,74,8.72,247562,3,92
Ai Yori Aoshi,24,7.24,66597,9,41
Naruto,220,7.81,683297,10,33
Witch Hunter Robin,26,7.36,64905,-1,91
Trigun,26,8.32,283069,8,1
School Rumble,26,8.06,178553,9,51
Hachimitsu to Clover,24,8.18,130646,10,20
Neon Genesis Evangelion,26,8.32,461946,-1,42
Full Metal Panic? Fumoffu,12,8.21,171086,9,57
Neon Genesis Evangelion,26,8.32,461946,8,79
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,27
Trinity Blood,24,7.44,113791,9,99
Mobile Suit Gundam Wing,49,7.87,86001,-1,82
Ai Yori Aoshi,24,7.24,66597,7,57
Naruto,220,7.81,683297,7,36
Mobile Suit Gundam Wing,49,7.87,86001,8,55
Neon Genesis Evangelion,26,8.32,461946,10,94
Chobits,26,7.57,266846,6,2
Mai-HiME,26,7.59,76492,7,44
D.N.Angel,26,7.35,126914,8,49
Full Metal Panic!,24,7.81,256325,4,3
Cowboy Bebop,26,8.82,486824,10,37
Full Metal Panic!,24,7.81,256325,7,93
Cowboy Bebop,26,8.82,486824,9,33
Hachimitsu to Clover,24,8.18,130646,10,25
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,7,55
Chrno Crusade,24,7.8,140865,6,89
Black Cat,23,7.52,150512,8,92
Mobile Suit Gundam Seed Destiny,50,7.36,65896,8,46
Naruto,220,7.81,683297,6,71
Naruto,220,7.81,683297,-1,52
Full Metal Panic! The Second Raid,13,8.06,155340,8,2
Azumanga Daioh,26,8.06,170901,7,52
Full Metal Panic!,24,7.81,256325,-1,28
Full Metal Panic!,24,7.81,256325,-1,28
Rozen Maiden,12,7.57,128688,9,41
Full Metal Panic! The Second Raid,13,8.06,155340,-1,50
Trigun,26,8.32,283069,8,96
Trigun,26,8.32,283069,7,34
Witch Hunter Robin,26,7.36,64905,8,77
Naruto,220,7.81,683297,6,61
Full Metal Panic? Fumoffu,12,8.21,171086,8,65
Rozen Maiden,12,7.57,128688,6,76
Naruto,220,7.81,683297,8,70
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,9,11
Beck,26,8.4,148328,10,9
Trinity Blood,24,7.44,113791,8,19
Chrno Crusade,24,7.8,140865,8,2
Full Metal Panic? Fumoffu,12,8.21,171086,10,16
D.N.Angel,26,7.35,126914,7,31
Last Exile,26,7.94,104193,-1,22
Black Cat,23,7.52,150512,7,79
Full Metal Panic? Fumoffu,12,8.21,171086,7,19
Berserk,25,8.4,226430,9,94
Last Exile,26,7.94,104193,6,19
Cowboy Bebop,26,8.82,486824,9,55
Neon Genesis Evangelion,26,8.32,461946,6,49
Hachimitsu to Clover,24,8.18,130646,8,84
Trigun,26,8.32,283069,9,75
Chobits,26,7.57,266846,8,80
Monster,74,8.72,247562,7,23
Chobits,26,7.57,266846,9,17
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,29
Mahou Shoujo Lyrical Nanoha,13,7.52,62582,-1,20
Naruto,220,7.81,683297,-1,19
Monster,74,8.72,247562,9,15
Black Cat,23,7.52,150512,-1,93
Black Cat,23,7.52,150512,6,54
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,71
Monster,74,8.72,247562,10,32
Trinity Blood,24,7.44,113791,-1,81
D.N.Angel,26,7.35,126914,4,88
Beck,26,8.4,148328,10,6
Hachimitsu to Clover,24,8.18,130646,8,33
Shuffle!,24,7.31,158772,9,17
Turn A Gundam,50,7.76,20056,10,35
Trinity Blood,24,7.44,113791,-1,96
School Rumble,26,8.06,178553,9,63
Chobits,26,7.57,266846,8,88
Eyeshield 21,145,8.08,83648,10,38
Trigun,26,8.32,283069,-1,81
Chobits,26,7.57,266846,8,92
Chobits,26,7.57,266846,5,46
Trigun,26,8.32,283069,7,15
Witch Hunter Robin,26,7.36,64905,9,35
Trigun,26,8.32,283069,10,66
School Rumble,26,8.06,178553,9,78
Mobile Suit Gundam Seed,50,7.93,96973,7,81
D.N.Angel,26,7.35,126914,-1,4
Neon Genesis Evangelion,26,8.32,461946,-1,60
Chrno Crusade,24,7.8,140865,8,31
Naruto,220,7.81,683297,7,87
Naruto,220,7.81,683297,8,5
Rozen Maiden,12,7.57,128688,10,14
Chrno Crusade,24,7.8,140865,7,81
Neon Genesis Evangelion,26,8.32,461946,9,74
School Rumble,26,8.06,178553,10,80
Monster,74,8.72,247562,8,95
Trinity Blood,24,7.44,113791,1,94
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,7,45
Neon Genesis Evangelion,26,8.32,461946,8,67
Cowboy Bebop,26,8.82,486824,10,95
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,8,59
Neon Genesis Evangelion,26,8.32,461946,-1,68
Naruto,220,7.81,683297,10,33
Naruto,220,7.81,683297,10,31
Mobile Suit Gundam Seed Destiny,50,7.36,65896,8,77
Black Cat,23,7.52,150512,-1,24
Monster,74,8.72,247562,8,69
Neon Genesis Evangelion,26,8.32,461946,10,44
Full Metal Panic? Fumoffu,12,8.21,171086,6,26
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,56
Full Metal Panic!,24,7.81,256325,9,86
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,79
Full Metal Panic!,24,7.81,256325,8,49
Cowboy Bebop,26,8.82,486824,10,36
Neon Genesis Evangelion,26,8.32,461946,10,76
Aa! Megami-sama! (TV),24,7.45,96694,9,20
Mobile Suit Gundam Wing,49,7.87,86001,10,39
Rozen Maiden: Tr?umend,12,7.78,72645,7,26
Cowboy Bebop,26,8.82,486824,9,3
Monster,74,8.72,247562,8,75
Eyeshield 21,145,8.08,83648,8,84
School Rumble,26,8.06,178553,-1,45
Hachimitsu to Clover,24,8.18,130646,10,91
Cowboy Bebop,26,8.82,486824,8,15
Mobile Suit Victory Gundam,51,6.98,12673,7,24
Full Metal Panic? Fumoffu,12,8.21,171086,8,20
Mai-Otome,26,7.4,36924,8,67
Mobile Suit Gundam Seed Destiny,50,7.36,65896,7,73
Full Metal Panic? Fumoffu,12,8.21,171086,9,82
Naruto,220,7.81,683297,8,89
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,10,87
Last Exile,26,7.94,104193,8,100
Eyeshield 21,145,8.08,83648,9,17
Rozen Maiden,12,7.57,128688,6,6
Ai Yori Aoshi,24,7.24,66597,6,10
Last Exile,26,7.94,104193,8,77
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,6
Naruto,220,7.81,683297,9,91
Last Exile,26,7.94,104193,-1,38
Neon Genesis Evangelion,26,8.32,461946,8,91
Beck,26,8.4,148328,10,1
Basilisk: Kouga Ninpou Chou,24,7.68,98144,10,43
Naruto,220,7.81,683297,9,96
Full Metal Panic!,24,7.81,256325,7,48
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,7,45
Naruto,220,7.81,683297,6,45
Naruto,220,7.81,683297,6,9
Mobile Suit Gundam Wing,49,7.87,86001,8,21
Rozen Maiden,12,7.57,128688,5,79
Black Cat,23,7.52,150512,8,40
Neon Genesis Evangelion,26,8.32,461946,8,34
DearS,12,6.8,91037,7,29
Trigun,26,8.32,283069,9,11
Beck,26,8.4,148328,7,4
Aa! Megami-sama! (TV),24,7.45,96694,-1,53
Cowboy Bebop,26,8.82,486824,9,92
School Rumble,26,8.06,178553,9,27
Azumanga Daioh,26,8.06,170901,8,36
Cowboy Bebop,26,8.82,486824,9,16
Naruto,220,7.81,683297,10,20
Chrno Crusade,24,7.8,140865,10,33
Full Metal Panic? Fumoffu,12,8.21,171086,10,26
D.N.Angel,26,7.35,126914,8,94
Naruto,220,7.81,683297,8,49
Cowboy Bebop,26,8.82,486824,9,76
Azumanga Daioh,26,8.06,170901,7,39
Chobits,26,7.57,266846,5,63
Mobile Suit Gundam Seed,50,7.93,96973,10,69
Full Metal Panic!,24,7.81,256325,9,53
Full Metal Panic!,24,7.81,256325,10,42
Aa! Megami-sama! (TV),24,7.45,96694,4,16
Trigun,26,8.32,283069,7,65
Berserk,25,8.4,226430,8,3
DearS,12,6.8,91037,5,41
Shuffle!,24,7.31,158772,8,16
Neon Genesis Evangelion,26,8.32,461946,7,58
Naruto,220,7.81,683297,7,23
Neon Genesis Evangelion,26,8.32,461946,9,6
Mobile Suit Gundam Seed,50,7.93,96973,10,78
Full Metal Panic! The Second Raid,13,8.06,155340,8,14
Naruto,220,7.81,683297,9,39
Yakitate!! Japan,69,8.05,50876,7,9
Full Metal Panic! The Second Raid,13,8.06,155340,7,17
Mobile Suit Gundam Seed,50,7.93,96973,-1,87
School Rumble,26,8.06,178553,7,60
Rurouni Kenshin: Meiji Kenkaku Romantan,94,8.43,218928,-1,5
School Rumble,26,8.06,178553,10,62
Last Exile,26,7.94,104193,-1,50
Cowboy Bebop,26,8.82,486824,8,92
Blue Gender,26,7.13,40581,7,90
Mobile Suit Gundam Seed,50,7.93,96973,4,83
Aa! Megami-sama! (TV),24,7.45,96694,8,2
Full Metal Panic! The Second Raid,13,8.06,155340,-1,72
DearS,12,6.8,91037,-1,71
Trinity Blood,24,7.44,113791,6,68
Trinity Blood,24,7.44,113791,8,6
Trinity Blood,24,7.44,113791,7,65
D.N.Angel,26,7.35,126914,10,75
Trigun,26,8.32,283069,8,80
Full Metal Panic? Fumoffu,12,8.21,171086,9,92
Shuffle!,24,7.31,158772,-1,98
Neon Genesis Evangelion,26,8.32,461946,8,86
Naruto,220,7.81,683297,6,9
Neon Genesis Evangelion,26,8.32,461946,9,92
Shuffle!,24,7.31,158772,-1,49
D.C.: Da Capo,26,6.93,49909,7,60
Cowboy Bebop,26,8.82,486824,8,83
Trinity Blood,24,7.44,113791,6,76
Azumanga Daioh,26,8.06,170901,7,21
Chobits,26,7.57,266846,-1,59
