个人信息,校园卡编号,消费金额,存储金额,余额,消费次数,消费类型,消费地点,消费时间
181641-男,20181641,7,0,24.4,489,消费,第四食堂,2019-04-16 11_10
181895-男,20181895,2.5,0,71,759,消费,第二食堂,2019-04-02 07_8
183632-男,20183632,3.6,0,22.1,370,消费,第五食堂,2019-04-09 11_11
180793-女,2018793,7,0,80.4,685,消费,第四食堂,2019-04-18 18_7
184301-男,20184301,1.5,0,74.6,307,消费,第五食堂,2019-04-08 07_8
181579-男,20181579,0.7,0,40.1,839,消费,第二食堂,2019-04-19 17_4
183690-女,20183690,3.5,0,67.2,615,消费,第五食堂,2019-04-25 17_2
182695-女,20182695,4,0,29.5,629,消费,第二食堂,2019-04-07 19_1
182178-女,20182178,2,0,1.3,364,消费,第一食堂,2019-04-15 19_0
183883-女,20183883,0.5,0,54.7,437,消费,第三食堂,2019-04-03 18_2
181138-男,20181138,1,0,81.1,765,消费,红太阳超市,2019-04-21 22_7
181079-男,20181079,2.5,0,14.5,1186,消费,第一食堂,2019-04-26 11_11
184142-女,20184142,3.5,0,84.9,843,消费,第一食堂,2019-04-02 11_7
181640-男,20181640,10.5,0,74.7,626,消费,第二食堂,2019-04-09 11_11
180682-女,2018682,0.5,0,77.9,913,消费,第二食堂,2019-04-24 18_3
183142-男,20183142,8,0,14.9,733,消费,第四食堂,2019-04-24 11_10
180074-男,201874,6,0,174.4,703,消费,第四食堂,2019-04-10 11_10
181695-男,20181695,0.6,0,102.74,705,消费,第一食堂,2019-04-08 11_11
180137-女,2018137,0.4,0,80.6,772,消费,第五食堂,2019-04-04 11_11
180218-男,2018218,4,0,54.9,684,消费,第一食堂,2019-04-06 18_10
181710-女,20181710,2,0,73.1,502,消费,红太阳超市,2019-04-22 16_8
180432-男,2018432,9,0,130.2,397,消费,第三食堂,2019-04-02 11_10
184207-女,20184207,4,0,28.28,599,消费,好利来食品店,2019-04-12 07_8
183104-男,20183104,2.4,0,72.7,543,消费,第五食堂,2019-04-03 07_8
181185-女,20181185,7,0,28.55,488,消费,第四食堂,2019-04-14 11_2
183243-女,20183243,1.2,0,94.2,937,消费,第二食堂,2019-04-22 07_7
180452-女,2018452,3.5,0,33.31,445,消费,第二食堂,2019-04-01 07_3
181168-男,20181168,0,100,102.4,522,存款,财务处,2019-04-30 15_2
180536-男,2018536,7,0,13.5,604,消费,第四食堂,2019-04-03 13_10
180495-女,2018495,0.6,0,215.8,738,消费,第五食堂,2019-04-26 11_11
182141-女,20182141,15,0,0.9,346,消费,好利来食品店,2019-04-25 13_4
184100-男,20184100,7,0,171.9,735,消费,红太阳超市,2019-04-14 21_6
182682-女,20182682,8,0,319,574,消费,第四食堂,2019-04-29 18_9
182428-女,20182428,5.6,0,43.5,545,消费,第五食堂,2019-04-25 18_4
183881-女,20183881,1,0,99.11,402,消费,第五食堂,2019-04-16 07_8
182620-女,20182620,3.5,0,136.1,461,消费,第五食堂,2019-04-12 07_6
184209-女,20184209,3.5,0,67.2,366,消费,好利来食品店,2019-04-11 09_11
182459-女,20182459,2.5,0,266.2,752,消费,第五食堂,2019-04-25 12_0
182931-男,20182931,2.5,0,113.7,825,消费,第五食堂,2019-04-30 07_4
180641-女,2018641,3.5,0,206.7,804,消费,红太阳超市,2019-04-01 10_0
181067-男,20181067,5.5,0,153.7,533,消费,红太阳超市,2019-04-05 13_4
182108-男,20182108,0.6,0,59.4,290,消费,第三食堂,2019-04-16 18_1
181066-男,20181066,1.6,0,84.4,713,消费,水电缴费处,2019-04-03 18_3
181113-男,20181113,8,0,21.6,431,消费,第四食堂,2019-04-15 18_6
182399-女,20182399,10,0,87.2,715,消费,第三食堂,2019-04-22 11_6
182023-男,20182023,9,0,97,442,消费,第四食堂,2019-04-09 11_12
180086-女,201886,2.5,0,26.4,679,消费,第五食堂,2019-04-11 11_11
183206-男,20183206,8.5,0,32.31,677,消费,第一食堂,2019-04-08 07_9
180843-女,2018843,0.4,0,105.2,860,消费,第二食堂,2019-04-19 11_11
183412-女,20183412,0.6,0,21.06,554,消费,第二食堂,2019-04-11 07_6
183113-男,20183113,3.5,0,4.1,490,消费,第二食堂,2019-04-29 18_8
180738-女,2018738,0.4,0,82.2,832,消费,第二食堂,2019-04-02 12_5
182836-男,20182836,0.5,0,35.7,259,消费,第二食堂,2019-04-30 18_8
182478-女,20182478,0.5,0,48.15,726,消费,第三食堂,2019-04-04 18_8
183214-男,20183214,4,0,3.6,583,消费,第一食堂,2019-04-10 07_10
180800-女,2018800,4.5,0,29.8,771,消费,第一食堂,2019-04-04 11_10
180399-女,2018399,0.5,0,82.9,708,消费,第三食堂,2019-04-12 00_0
182351-女,20182351,2.5,0,28.6,393,消费,第二食堂,2019-04-04 07_3
181751-女,20181751,7.9,0,88.3,574,消费,水电缴费处,2019-04-09 15_9
183325-女,20183325,0.6,0,104,667,消费,第二食堂,2019-04-16 07_7
181100-男,20181100,7,0,48.2,471,消费,第四食堂,2019-04-04 18_10
183490-女,20183490,0,50,75.6,835,存款,财务处,2019-04-22 16_4
182720-男,20182720,0.6,0,245.6,1349,消费,第五食堂,2019-04-27 11_2
182013-女,20182013,0,50,59.35,885,存款,财务处,2019-04-11 09_12
183448-男,20183448,1.5,0,84.6,934,消费,第一食堂,2019-04-12 07_11
181108-男,20181108,12,0,42.1,951,消费,第四食堂,2019-04-09 15_8
181271-女,20181271,7,0,118.5,828,消费,第四食堂,2019-04-18 17_5
181408-男,20181408,1.2,0,15.6,798,消费,第二食堂,2019-04-03 07_4
180133-女,2018133,6,0,60.8,872,消费,好利来食品店,2019-04-16 18_4
181755-女,20181755,0.4,0,89.8,797,消费,第二食堂,2019-04-03 16_8
181167-男,20181167,2.5,0,174.4,563,消费,红太阳超市,2019-04-04 13_1
181710-女,20181710,1.2,0,2.9,517,消费,第二食堂,2019-04-26 07_7
181359-男,20181359,7.5,0,49.5,490,消费,第二食堂,2019-04-14 19_1
180526-男,2018526,4,0,94.2,1067,消费,第一食堂,2019-04-30 21_10
183427-女,20183427,10,0,86.39,176,消费,第二食堂,2019-04-04 19_3
183408-女,20183408,0.4,0,71,764,消费,第一食堂,2019-04-16 11_8
182148-女,20182148,8,0,7.8,508,消费,第五食堂,2019-04-01 13_2
181453-男,20181453,1.5,0,25.5,699,消费,第一食堂,2019-04-16 07_8
182283-女,20182283,9,0,82.3,731,消费,第四食堂,2019-04-23 18_2
182158-女,20182158,2,0,77.7,391,消费,第四食堂,2019-04-02 12_3
182858-男,20182858,4.5,0,76.3,533,消费,好利来食品店,2019-04-04 11_12
183987-男,20183987,7,0,90.8,680,消费,第四食堂,2019-04-16 12_4
182351-女,20182351,2,0,72,433,消费,第二食堂,2019-04-16 19_10
180690-女,2018690,4,0,60.9,798,消费,第一食堂,2019-04-23 21_11
180089-女,201889,3.5,0,56.9,455,消费,第二食堂,2019-04-26 12_9
182716-男,20182716,0.6,0,54.2,585,消费,第五食堂,2019-04-18 11_7
180603-女,2018603,2,0,83.2,540,消费,第一食堂,2019-04-05 08_11
183539-男,20183539,6.5,0,62.8,662,消费,第一食堂,2019-04-25 07_6
183087-男,20183087,0,100,100.1,483,存款,财务处,2019-04-08 12_4
181690-男,20181690,2.5,0,79.6,750,消费,第一食堂,2019-04-04 12_4
180492-女,2018492,3,0,90.6,538,消费,第二食堂,2019-04-09 21_5
180133-女,2018133,0.5,0,27.8,846,消费,第三食堂,2019-04-10 11_11
183787-女,20183787,3,0,149.3,739,消费,第五食堂,2019-04-10 07_7
181485-男,20181485,7,0,73.6,398,消费,第四食堂,2019-04-30 17_11
183723-女,20183723,6,0,91,590,消费,第五食堂,2019-04-15 11_12
181244-男,20181244,1.2,0,178.5,1171,消费,第二食堂,2019-04-11 07_9
183171-男,20183171,1.8,0,50.71,660,消费,第一食堂,2019-04-10 07_7
183363-女,20183363,5,0,121.2,593,消费,第四食堂,2019-04-03 13_4
182262-女,20182262,6,0,163,508,消费,第三食堂,2019-04-10 12_0
184012-女,20184012,2,0,102.56,602,消费,第二食堂,2019-04-16 09_7
183841-女,20183841,8,0,6.7,395,消费,第三食堂,2019-04-23 18_3
182138-女,20182138,4.5,0,73.2,763,消费,第五食堂,2019-04-14 11_7
184336-女,20184336,2,0,59,608,消费,第五食堂,2019-04-22 07_10
180617-女,2018617,0.6,0,90.7,616,消费,第二食堂,2019-04-10 09_8
183002-男,20183002,8,0,101.3,234,消费,第三食堂,2019-04-18 17_8
181483-男,20181483,3.5,0,31.6,648,消费,第二食堂,2019-04-11 18_8
180136-女,2018136,2,0,84.25,645,消费,第五食堂,2019-04-18 07_5
182361-女,20182361,6,0,67.2,704,消费,第三食堂,2019-04-03 11_11
183965-女,20183965,2.5,0,2.3,485,消费,第五食堂,2019-04-22 09_2
183728-女,20183728,5.5,0,104.6,536,消费,第五食堂,2019-04-04 12_0
182283-女,20182283,4.5,0,32.8,699,消费,第五食堂,2019-04-10 11_11
181735-女,20181735,1.5,0,17.86,610,消费,第一食堂,2019-04-23 11_6
182678-女,20182678,0.5,0,99.1,696,消费,第五食堂,2019-04-23 12_3
180609-女,2018609,1.5,0,88.2,842,消费,第一食堂,2019-04-02 17_9
181136-男,20181136,2,0,72.4,970,消费,第二食堂,2019-04-04 22_2
183420-女,20183420,3,0,83.9,709,消费,第一食堂,2019-04-09 11_8
182297-女,20182297,0.4,0,38.79,677,消费,第五食堂,2019-04-30 17_2
180332-女,2018332,0.5,0,10.34,779,消费,第五食堂,2019-04-25 12_0
180285-女,2018285,2.5,0,81.3,499,消费,好利来食品店,2019-04-24 09_11
180814-女,2018814,5,0,17.9,753,消费,第四食堂,2019-04-20 19_6
182207-女,20182207,9,0,33.9,784,消费,第三食堂,2019-04-26 11_8
183659-女,20183659,0.4,0,51.9,358,消费,水电缴费处,2019-04-18 19_7
182048-女,20182048,2,0,103.1,387,消费,第二食堂,2019-04-11 19_6
181122-女,20181122,300,0,105.2,456,消费,宿管办,2019-04-08 16_7
183446-男,20183446,8,0,87.1,733,消费,第四食堂,2019-04-15 12_0
181474-女,20181474,1.5,0,10.3,429,消费,第二食堂,2019-04-12 07_11
181488-男,20181488,7,0,51.1,794,消费,第二食堂,2019-04-22 18_4
182672-女,20182672,0.5,0,71.6,399,消费,第五食堂,2019-04-24 18_3
183679-女,20183679,0.5,0,100,810,消费,第五食堂,2019-04-16 17_12
180240-女,2018240,0.4,0,38,547,消费,第五食堂,2019-04-09 16_9
181408-男,20181408,2.5,0,96.7,840,消费,第二食堂,2019-04-10 17_10
180394-女,2018394,2.1,0,38,1015,消费,第五食堂,2019-04-19 07_4
180317-女,2018317,3.5,0,80.14,849,消费,第五食堂,2019-04-20 07_7
181571-男,20181571,4,0,81,1197,消费,第二食堂,2019-04-20 11_7
180363-女,2018363,4,0,30.3,829,消费,好利来食品店,2019-04-01 07_8
184134-女,20184134,3.5,0,15.6,733,消费,第二食堂,2019-04-03 00_0
180187-女,2018187,7,0,19.2,355,消费,第四食堂,2019-04-18 11_11
183624-男,20183624,11,0,18.2,479,消费,第三食堂,2019-04-07 17_12
181672-男,20181672,0.6,0,42.6,582,消费,第二食堂,2019-04-18 07_5
181895-男,20181895,1.5,0,26.9,781,消费,第二食堂,2019-04-09 17_8
181629-男,20181629,1,0,77.7,1066,消费,第一食堂,2019-04-05 12_2
184084-男,20184084,3.5,0,187,701,消费,第二食堂,2019-04-02 17_4
182848-男,20182848,5,0,34.71,961,消费,第二食堂,2019-04-13 11_9
181716-女,20181716,0.4,0,161,407,消费,第二食堂,2019-04-04 11_10
182881-女,20182881,6,0,1.2,737,消费,第五食堂,2019-04-10 18_2
183646-女,20183646,2,0,140.2,387,消费,第三食堂,2019-04-09 18_5
180641-女,2018641,3.5,0,175.4,813,消费,第一食堂,2019-04-06 18_9
183908-女,20183908,3.5,0,209.8,446,消费,第二食堂,2019-04-30 11_7
181755-女,20181755,0.4,0,47.1,809,消费,第二食堂,2019-04-29 11_12
181155-男,20181155,2,0,42.7,595,消费,红太阳超市,2019-04-25 10_3
180433-男,2018433,2,0,111.2,781,消费,第一食堂,2019-04-02 12_5
181086-男,20181086,3.5,0,81.4,1007,消费,第五食堂,2019-04-17 17_10
180370-女,2018370,4.5,0,210.9,120,消费,第一食堂,2019-04-16 12_4
182013-女,20182013,0,50,51.85,945,存款,财务处,2019-04-21 16_9
182839-男,20182839,1,0,71.9,798,消费,第五食堂,2019-04-02 11_8
180208-女,2018208,0.4,0,45.9,577,消费,第五食堂,2019-04-22 12_3
181903-男,20181903,1.5,0,42.5,777,消费,第一食堂,2019-04-26 07_7
180135-女,2018135,1,0,67.7,728,消费,第五食堂,2019-04-11 07_1
183351-男,20183351,2.5,0,68.7,209,消费,第二食堂,2019-04-29 12_2
181030-女,20181030,2.5,0,34.1,733,消费,红太阳超市,2019-04-22 21_6
183105-男,20183105,0.6,0,265.5,615,消费,第三食堂,2019-04-03 17_8
181191-女,20181191,2.5,0,66.15,906,消费,第二食堂,2019-04-18 07_6
181754-女,20181754,0.6,0,71.7,913,消费,第二食堂,2019-04-25 07_7
181436-男,20181436,3.5,0,24.8,762,消费,红太阳超市,2019-04-19 11_10
183519-男,20183519,7,0,204.3,544,消费,第四食堂,2019-04-17 11_9
183853-女,20183853,2,0,174.9,586,消费,第五食堂,2019-04-23 11_10
182975-男,20182975,2.5,0,31,411,消费,第五食堂,2019-04-03 12_4
183390-女,20183390,1.2,0,54.5,771,消费,第二食堂,2019-04-04 07_10
182465-女,20182465,0.5,0,94.86,614,消费,第三食堂,2019-04-02 11_11
182338-女,20182338,5.5,0,94.65,744,消费,好利来食品店,2019-04-09 07_1
182472-女,20182472,2.1,0,0.5,602,消费,第五食堂,2019-04-18 12_2
182420-女,20182420,3,0,42.9,425,消费,第五食堂,2019-04-24 11_11
181462-男,20181462,0.6,0,39.6,1145,消费,第二食堂,2019-04-16 16_8
180797-女,2018797,0.4,0,66.1,1281,消费,第二食堂,2019-04-24 11_8
180405-女,2018405,6,0,285.5,570,消费,第五食堂,2019-04-30 11_1
181534-男,20181534,0.6,0,105,744,消费,第二食堂,2019-04-26 11_4
180170-女,2018170,0.5,0,1.2,692,消费,第五食堂,2019-04-29 17_8
182236-男,20182236,3,0,34.2,642,消费,第五食堂,2019-04-20 19_7
184239-女,20184239,6,0,74.9,509,消费,第五食堂,2019-04-19 12_3
182400-女,20182400,7,0,69.7,443,消费,第一食堂,2019-04-10 11_12
181925-女,20181925,2.2,0,17,1043,消费,第二食堂,2019-04-12 07_5
182976-男,20182976,2,0,18.8,870,消费,第五食堂,2019-04-01 12_4
182487-女,20182487,2.5,0,43.4,458,消费,第五食堂,2019-04-18 07_4
180282-女,2018282,5,0,73.2,731,消费,第二食堂,2019-04-01 18_2
182497-女,20182497,0,100,106.5,608,存款,财务处,2019-04-11 11_11
182456-女,20182456,3.1,0,81.5,595,消费,第一食堂,2019-04-16 07_7
183576-女,20183576,7,0,67.6,530,消费,第四食堂,2019-04-18 17_6
183876-女,20183876,0.4,0,111.9,590,消费,第五食堂,2019-04-10 11_8
182619-女,20182619,9,0,68.3,485,消费,第三食堂,2019-04-17 12_1
183254-女,20183254,2,0,63.2,679,消费,第二食堂,2019-04-19 07_5
180356-女,2018356,1.2,0,115.5,673,消费,第五食堂,2019-04-13 07_5
180135-女,2018135,3,0,130.8,693,消费,第五食堂,2019-04-03 11_11
181414-男,20181414,2,0,82,875,消费,第二食堂,2019-04-02 18_1
180669-女,2018669,1.6,0,61.1,1048,消费,第二食堂,2019-04-20 09_5
183088-男,20183088,10,0,258.5,550,消费,第三食堂,2019-04-12 15_1
183070-男,20183070,8,0,60.4,649,消费,第五食堂,2019-04-18 18_6
180614-女,2018614,3,0,78.6,948,消费,第一食堂,2019-04-09 07_9
180773-女,2018773,0,100,100.7,504,存款,财务处,2019-04-12 12_7
181065-男,20181065,1,0,199.8,603,消费,第二食堂,2019-04-04 09_7
183382-女,20183382,3,0,119.5,579,消费,第二食堂,2019-04-17 11_6
183210-男,20183210,5,0,60.61,810,消费,第五食堂,2019-04-23 11_9
181895-男,20181895,5,0,7,868,消费,第二食堂,2019-04-24 17_6
181139-男,20181139,0.7,0,21.84,684,消费,第二食堂,2019-04-19 12_0
181760-男,20181760,2.5,0,91.1,636,消费,第一食堂,2019-04-17 09_10
180014-女,201814,3,0,100.4,870,消费,第一食堂,2019-04-10 17_6
181025-女,20181025,0.6,0,45.2,737,消费,第二食堂,2019-04-11 07_8
180740-女,2018740,1.5,0,61.6,663,消费,第二食堂,2019-04-26 11_11
184218-女,20184218,0.6,0,88.3,424,消费,第五食堂,2019-04-25 07_8
181942-女,20181942,0.5,0,191.4,883,消费,第二食堂,2019-04-10 07_9
182119-女,20182119,10,0,16.8,661,消费,第二食堂,2019-04-22 16_7
182718-男,20182718,9,0,67.5,584,消费,第三食堂,2019-04-04 11_10
183199-女,20183199,1.5,0,46.4,702,消费,第二食堂,2019-04-29 09_11
183997-女,20183997,0.4,0,91.14,747,消费,第二食堂,2019-04-08 11_4
180734-女,2018734,7,0,41.16,488,消费,第四食堂,2019-04-10 11_11
182195-女,20182195,0.6,0,57,455,消费,第一食堂,2019-04-26 11_11
180491-女,2018491,0.5,0,50.7,478,消费,第二食堂,2019-04-10 11_7
182518-女,20182518,8,0,35.2,293,消费,第三食堂,2019-04-01 12_2
183416-女,20183416,2,0,36.3,510,消费,第一食堂,2019-04-23 00_9
182270-女,20182270,2.5,0,71.79,866,消费,第五食堂,2019-04-30 18_12
181556-男,20181556,2.5,0,76.9,1155,消费,第一食堂,2019-04-10 19_10
182443-女,20182443,3.5,0,35.5,474,消费,第五食堂,2019-04-19 12_1
180764-男,2018764,0.6,0,28.7,982,消费,第二食堂,2019-04-29 07_3
182221-男,20182221,0.6,0,27.1,228,消费,第三食堂,2019-04-22 18_1
180079-男,201879,3,0,83.9,373,消费,第五食堂,2019-04-08 19_1
183713-女,20183713,0.4,0,54.7,736,消费,第五食堂,2019-04-21 17_6
183066-男,20183066,10,0,105.6,454,消费,第三食堂,2019-04-17 18_10
181892-男,20181892,2.5,0,314.83,654,消费,第一食堂,2019-04-29 19_4
182551-女,20182551,0.5,0,14.85,533,消费,第三食堂,2019-04-02 11_11
181812-男,20181812,0.4,0,26.1,970,消费,第五食堂,2019-04-25 17_10
181621-男,20181621,8,0,32.7,585,消费,第四食堂,2019-04-11 17_10
183398-女,20183398,3.5,0,108,459,消费,第一食堂,2019-04-04 07_9
182092-女,20182092,1.5,0,56.7,540,消费,第五食堂,2019-04-26 18_3
180495-女,2018495,0.6,0,131.8,671,消费,第五食堂,2019-04-30 11_9
180150-女,2018150,2.6,0,11.3,356,消费,第五食堂,2019-04-04 07_5
181884-男,20181884,1.5,0,53.3,573,消费,第一食堂,2019-04-25 11_7
180792-女,2018792,3,0,87,903,消费,第二食堂,2019-04-25 17_10
181577-男,20181577,1.5,0,62.2,731,消费,第二食堂,2019-04-08 12_1
182603-女,20182603,0.5,0,115.7,726,消费,第三食堂,2019-04-19 18_6
182769-男,20182769,0,70,77.6,414,存款,财务处,2019-04-03 11_9
184098-男,20184098,6,0,129.3,734,消费,第四食堂,2019-04-20 18_7
180728-女,2018728,1,0,196.94,1074,消费,第一食堂,2019-04-15 18_1
182183-女,20182183,2,0,11.45,546,消费,第五食堂,2019-04-25 21_4
181328-男,20181328,4,0,85.6,553,消费,第二食堂,2019-04-10 16_4
181800-男,20181800,9,0,66.2,588,消费,第四食堂,2019-04-07 19_1
182652-女,20182652,9.5,0,60.3,528,消费,第三食堂,2019-04-08 19_4
184034-女,20184034,3.5,0,449.31,894,消费,第一食堂,2019-04-02 11_11
182806-女,20182806,5,0,78.1,537,消费,第三食堂,2019-04-23 17_6
181697-男,20181697,1.5,0,33.94,523,消费,第一食堂,2019-04-17 18_1
182109-男,20182109,4.5,0,24.4,700,消费,第五食堂,2019-04-15 18_3
181284-女,20181284,1.7,0,26,527,消费,第二食堂,2019-04-03 07_9
183778-女,20183778,3,0,11.1,880,消费,第一食堂,2019-04-11 07_10
180234-男,2018234,9,0,7.5,352,消费,第三食堂,2019-04-18 19_3
180631-男,2018631,1.5,0,35.8,828,消费,第一食堂,2019-04-24 11_11
183363-女,20183363,1.5,0,81.5,613,消费,第二食堂,2019-04-11 07_9
184244-女,20184244,4.5,0,24.8,733,消费,第五食堂,2019-04-13 12_0
180638-女,2018638,2,0,53.8,398,消费,红太阳超市,2019-04-25 21_9
184201-男,20184201,1.5,0,66.6,790,消费,第一食堂,2019-04-05 11_5
182328-女,20182328,8,0,88.9,392,消费,第三食堂,2019-04-23 12_1
182612-男,20182612,0.6,0,53.34,936,消费,第一食堂,2019-04-07 12_5
183854-女,20183854,0.4,0,112,625,消费,第五食堂,2019-04-10 11_8
182695-女,20182695,4,0,55.6,749,消费,第二食堂,2019-04-20 18_5
182378-女,20182378,3,0,19.6,982,消费,好利来食品店,2019-04-22 17_8
183424-女,20183424,0.5,0,62.9,687,消费,第一食堂,2019-04-22 11_10
183732-女,20183732,2.5,0,11.9,734,消费,第五食堂,2019-04-19 07_8
180111-女,2018111,0.5,0,45.7,1091,消费,第三食堂,2019-04-19 16_10
180182-女,2018182,1.2,0,177.7,701,消费,第五食堂,2019-04-08 07_5
184007-男,20184007,1.5,0,53.9,696,消费,第一食堂,2019-04-24 17_11
184100-男,20184100,2,0,130.8,691,消费,红太阳超市,2019-04-04 16_0
180282-女,2018282,0,100,125.9,803,存款,财务处,2019-04-18 16_10
182573-女,20182573,7.5,0,22.2,581,消费,好利来食品店,2019-04-27 12_9
181652-男,20181652,7,0,56.8,631,消费,第四食堂,2019-04-30 11_8
182493-女,20182493,2,0,40.5,561,消费,第五食堂,2019-04-15 19_5
180209-男,2018209,6.5,0,21.3,439,消费,好利来食品店,2019-04-01 17_1
181895-男,20181895,0.6,0,82.7,879,消费,第二食堂,2019-04-26 11_10
183961-女,20183961,4,0,81.2,95,消费,第二食堂,2019-04-03 19_11
181237-男,20181237,1.2,0,20.7,795,消费,第二食堂,2019-04-17 02_11
180847-女,2018847,4,0,77.9,592,消费,第二食堂,2019-04-18 11_10
182285-女,20182285,7,0,80.5,543,消费,第四食堂,2019-04-15 18_0
181909-男,20181909,7,0,42.6,483,消费,第四食堂,2019-04-11 17_9
181927-女,20181927,1.5,0,88.6,670,消费,第二食堂,2019-04-15 17_7
182411-男,20182411,4.1,0,8.2,690,消费,第一食堂,2019-04-03 08_7
182612-男,20182612,3,0,94.25,1093,消费,第二食堂,2019-04-24 18_0
181415-男,20181415,1.5,0,23.2,1037,消费,第二食堂,2019-04-30 16_10
180242-女,2018242,1,0,32.8,662,消费,好利来食品店,2019-04-08 09_12
181462-男,20181462,2,0,40.4,1143,消费,第二食堂,2019-04-16 11_7
184317-男,20184317,5,0,271.9,118,消费,第四食堂,2019-04-22 17_11
183018-男,20183018,0.5,0,88.75,530,消费,第五食堂,2019-04-24 17_2
182163-女,20182163,2,0,16.5,323,消费,第四食堂,2019-04-25 12_2
180827-女,2018827,7,0,58.15,663,消费,第四食堂,2019-04-17 19_0
181036-女,20181036,7,0,98.9,493,消费,第四食堂,2019-04-18 11_11
181058-男,20181058,8,0,72.2,672,消费,第四食堂,2019-04-12 12_11
182731-男,20182731,8,0,42.22,559,消费,第二食堂,2019-04-12 11_9
181408-男,20181408,0.6,0,115,869,消费,第二食堂,2019-04-17 18_2
181548-男,20181548,1.2,0,31.2,718,消费,第二食堂,2019-04-04 20_4
182601-女,20182601,5.5,0,16.5,702,消费,第三食堂,2019-04-30 18_4
183788-女,20183788,0.5,0,41.1,833,消费,第五食堂,2019-04-08 12_2
181527-男,20181527,9,0,103.2,441,消费,第四食堂,2019-04-26 11_2
180589-女,2018589,5,0,193.31,771,消费,第四食堂,2019-04-18 16_10
183709-女,20183709,0,100,134.7,656,存款,财务处,2019-04-03 18_4
180358-女,2018358,3.5,0,181.3,468,消费,第五食堂,2019-04-02 18_7
180655-女,2018655,9,0,227.7,564,消费,第四食堂,2019-04-11 11_10
182421-女,20182421,3,0,80.3,633,消费,第四食堂,2019-04-25 18_9
182583-女,20182583,2.6,0,34.7,737,消费,第五食堂,2019-04-17 18_4
183952-女,20183952,0.5,0,70.4,510,消费,第三食堂,2019-04-30 11_7
183361-女,20183361,1.2,0,40.7,524,消费,第二食堂,2019-04-01 07_10
184043-女,20184043,0.4,0,80.8,709,消费,第二食堂,2019-04-12 11_11
181091-男,20181091,7,0,27.6,723,消费,第四食堂,2019-04-15 11_10
183072-男,20183072,5,0,8.84,489,消费,第三食堂,2019-04-15 17_8
184229-女,20184229,0.5,0,67.4,514,消费,第五食堂,2019-04-09 12_2
182306-男,20182306,9,0,56.01,290,消费,第四食堂,2019-04-26 11_10
180870-女,2018870,0.4,0,54,503,消费,第一食堂,2019-04-02 11_11
183091-男,20183091,9,0,95.2,391,消费,第三食堂,2019-04-08 12_5
182417-男,20182417,0.6,0,16.3,704,消费,第二食堂,2019-04-12 12_7
183464-女,20183464,5,0,96.2,687,消费,第四食堂,2019-04-24 11_9
182479-女,20182479,0,100,100.4,537,存款,财务处,2019-04-03 12_4
181496-男,20181496,2.5,0,79.4,651,消费,第二食堂,2019-04-29 12_2
182023-男,20182023,7.5,0,30,450,消费,好利来食品店,2019-04-12 07_10
183788-女,20183788,2.5,0,165.9,861,消费,第五食堂,2019-04-14 17_8
180375-女,2018375,7,0,295.6,527,消费,好利来食品店,2019-04-23 12_1
183742-女,20183742,2,0,62.55,720,消费,第五食堂,2019-04-18 07_7
182209-女,20182209,2.5,0,67.4,854,消费,好利来食品店,2019-04-06 07_8
181125-男,20181125,3,0,26.1,568,消费,第二食堂,2019-04-24 11_10
183919-女,20183919,2.1,0,65.4,297,消费,第五食堂,2019-04-08 10_2
180571-女,2018571,1.5,0,62.7,629,消费,第二食堂,2019-04-08 16_7
182107-男,20182107,5,0,44.5,411,消费,第二食堂,2019-04-16 18_0
182376-女,20182376,0.1,0,3.4,686,消费,水电缴费处,2019-04-18 10_2
182305-女,20182305,6.1,0,15.1,504,消费,第五食堂,2019-04-01 16_11
184295-男,20184295,0.6,0,69.1,621,消费,第五食堂,2019-04-27 11_11
184317-男,20184317,9,0,291.9,114,消费,第四食堂,2019-04-12 12_11
183669-女,20183669,10.5,0,31.6,190,消费,第五食堂,2019-04-25 16_11
181136-男,20181136,3,0,19.1,1080,消费,第二食堂,2019-04-24 22_4
181941-女,20181941,1,0,51.9,813,消费,第二食堂,2019-04-02 07_4
181493-男,20181493,2,0,46,1020,消费,第二食堂,2019-04-10 07_10
182377-女,20182377,0.6,0,107.7,691,消费,第五食堂,2019-04-04 07_4
181105-男,20181105,1.2,0,31.8,530,消费,第二食堂,2019-04-03 07_7
181390-男,20181390,0.6,0,93.3,669,消费,第二食堂,2019-04-04 07_8
183105-男,20183105,5,0,213.3,625,消费,第五食堂,2019-04-29 12_2
182981-男,20182981,0,100,110.5,228,存款,财务处,2019-04-17 12_5
183346-男,20183346,7,0,20.22,782,消费,第四食堂,2019-04-10 18_10
181563-男,20181563,0.8,0,108.4,858,消费,第一食堂,2019-04-05 12_2
183092-男,20183092,7,0,90.1,901,消费,好利来食品店,2019-04-01 22_1
180464-女,2018464,0.6,0,40.9,706,消费,第五食堂,2019-04-17 00_0
180581-女,2018581,4,0,186.3,750,消费,第二食堂,2019-04-03 18_1
182709-女,20182709,3,0,85,564,消费,第五食堂,2019-04-08 17_1
182513-女,20182513,3,0,25.9,470,消费,好利来食品店,2019-04-02 18_5
181298-女,20181298,0.4,0,76.85,444,消费,第二食堂,2019-04-02 16_6
182297-女,20182297,1.5,0,161.99,703,消费,第五食堂,2019-04-22 08_7
183178-女,20183178,10.5,0,68.7,591,消费,第二食堂,2019-04-22 09_9
181411-男,20181411,0.6,0,65.9,923,消费,第二食堂,2019-04-01 17_8
